epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1589,1.21454,3.22068,1.32554,0.59896,0.49197,0.55776,0.39057,1.0983,2.32498,1.31439,0.000131579,0.000131579,0.000131579
2,85.6785,1.07391,1.92413,1.2408,0.56092,0.58238,0.64858,0.48179,1.05137,1.87824,1.3919,0.000259667,0.000259667,0.000259667
3,105.628,1.03694,1.7014,1.21871,0.66592,0.7131,0.70683,0.52713,1.0574,1.58998,1.28531,0.000382475,0.000382475,0.000382475
4,125.855,1.0516,1.52797,1.22238,0.75465,0.67499,0.74592,0.5593,1.01454,1.44399,1.34767,0.00037624,0.00037624,0.00037624
5,146.029,0.99363,1.45181,1.2124,0.70392,0.72883,0.79347,0.59508,1.00082,1.23038,1.31838,0.00036832,0.00036832,0.00036832
6,165.765,1.00509,1.31772,1.20316,0.82754,0.78702,0.87527,0.66503,0.96389,1.09751,1.29089,0.0003604,0.0003604,0.0003604
7,185.487,0.9545,1.19611,1.18102,0.84343,0.79467,0.88044,0.68688,0.89624,1.02,1.19492,0.00035248,0.00035248,0.00035248
8,205.18,0.96333,1.19299,1.16772,0.82092,0.79151,0.88871,0.69322,0.87514,1.06441,1.20841,0.00034456,0.00034456,0.00034456
9,225.382,0.92341,1.18329,1.15912,0.86767,0.83878,0.92431,0.69863,0.93312,0.8959,1.2469,0.00033664,0.00033664,0.00033664
10,261.971,0.9038,1.05906,1.15135,0.89684,0.81741,0.91057,0.70872,0.91863,0.90276,1.25535,0.00032872,0.00032872,0.00032872
11,281.451,0.89475,1.04441,1.1466,0.94051,0.799,0.93864,0.72853,0.88469,0.77527,1.23436,0.0003208,0.0003208,0.0003208
12,301.256,0.88914,1.00358,1.14926,0.89594,0.85414,0.93697,0.74517,0.85164,0.77323,1.18992,0.00031288,0.00031288,0.00031288
13,321.157,0.85904,0.93956,1.12436,0.92619,0.8857,0.9471,0.7362,0.88668,0.73336,1.20056,0.00030496,0.00030496,0.00030496
14,369.393,0.8495,0.926,1.10793,0.92961,0.85535,0.95531,0.74824,0.86793,0.68209,1.18524,0.00029704,0.00029704,0.00029704
15,389.091,0.83567,0.90369,1.10553,0.86259,0.9086,0.95439,0.72918,0.90338,0.76903,1.22723,0.00028912,0.00028912,0.00028912
16,408.509,0.83646,0.87208,1.10525,0.92339,0.8908,0.9571,0.76094,0.85284,0.66564,1.20389,0.0002812,0.0002812,0.0002812
17,428.282,0.80984,0.8326,1.09401,0.93603,0.91317,0.96848,0.76591,0.81816,0.65852,1.16696,0.00027328,0.00027328,0.00027328
18,474.443,0.80808,0.84596,1.10712,0.94687,0.90074,0.96437,0.76825,0.83463,0.62922,1.16748,0.00026536,0.00026536,0.00026536
19,494.26,0.80023,0.808,1.09709,0.95767,0.91868,0.97795,0.75952,0.87329,0.58514,1.19905,0.00025744,0.00025744,0.00025744
20,513.647,0.78636,0.76561,1.08782,0.95777,0.91144,0.9741,0.76384,0.83758,0.58291,1.17422,0.00024952,0.00024952,0.00024952
21,533.179,0.77875,0.76661,1.07739,0.96228,0.9134,0.97609,0.77233,0.82404,0.55001,1.17153,0.0002416,0.0002416,0.0002416
22,569.226,0.76728,0.75262,1.08024,0.94887,0.90107,0.97717,0.77834,0.81676,0.55308,1.16585,0.00023368,0.00023368,0.00023368
23,589.037,0.76059,0.73156,1.05915,0.9583,0.92676,0.97964,0.7896,0.77764,0.53242,1.15656,0.00022576,0.00022576,0.00022576
24,608.736,0.73867,0.70492,1.05175,0.96655,0.92017,0.97626,0.77699,0.82545,0.52638,1.1988,0.00021784,0.00021784,0.00021784
25,628.276,0.74223,0.69198,1.06763,0.9402,0.95048,0.98014,0.78922,0.77911,0.50063,1.16371,0.00020992,0.00020992,0.00020992
26,647.707,0.73578,0.6834,1.05255,0.91689,0.94372,0.97243,0.77172,0.81478,0.52919,1.17716,0.000202,0.000202,0.000202
27,668.092,0.72979,0.6837,1.04474,0.96788,0.92942,0.97886,0.79338,0.80297,0.48626,1.15447,0.00019408,0.00019408,0.00019408
28,689.791,0.72452,0.67317,1.05168,0.95562,0.93363,0.98478,0.796,0.77822,0.49481,1.13285,0.00018616,0.00018616,0.00018616
29,724.116,0.72467,0.66672,1.05413,0.95833,0.94189,0.98535,0.79497,0.76532,0.47751,1.12931,0.00017824,0.00017824,0.00017824
30,747.852,0.70688,0.64548,1.04848,0.95359,0.94802,0.98088,0.78815,0.79722,0.4662,1.18418,0.00017032,0.00017032,0.00017032
31,768.559,0.69352,0.62808,1.03094,0.96351,0.94083,0.98067,0.78658,0.79562,0.46607,1.17186,0.0001624,0.0001624,0.0001624
32,790.56,0.69067,0.62713,1.03645,0.96645,0.96204,0.98934,0.79244,0.79023,0.44903,1.15332,0.00015448,0.00015448,0.00015448
33,812.845,0.70182,0.59759,1.03515,0.95955,0.9394,0.98104,0.78565,0.78085,0.46171,1.14992,0.00014656,0.00014656,0.00014656
34,833.227,0.67825,0.58074,1.02487,0.95327,0.94405,0.98342,0.80155,0.76118,0.4612,1.14436,0.00013864,0.00013864,0.00013864
35,853.679,0.68278,0.59361,1.03464,0.95777,0.96257,0.98649,0.79598,0.78278,0.42782,1.16895,0.00013072,0.00013072,0.00013072
36,873.836,0.66581,0.56364,1.01733,0.96166,0.96011,0.98623,0.80189,0.76967,0.42597,1.16206,0.0001228,0.0001228,0.0001228
37,894.123,0.65711,0.55447,1.01591,0.96751,0.95516,0.98712,0.79861,0.76807,0.41638,1.15199,0.00011488,0.00011488,0.00011488
38,914.188,0.64235,0.54231,1.00855,0.96801,0.94792,0.99039,0.79799,0.76779,0.41137,1.15728,0.00010696,0.00010696,0.00010696
39,934.328,0.64265,0.54232,1.00946,0.96951,0.96223,0.98905,0.79221,0.77714,0.41362,1.1578,9.904e-05,9.904e-05,9.904e-05
40,955.932,0.64401,0.52811,1.00031,0.97262,0.96368,0.98666,0.80207,0.77532,0.39924,1.16691,9.112e-05,9.112e-05,9.112e-05
41,993.687,0.55949,0.34333,0.97535,0.97239,0.96107,0.98905,0.80678,0.75245,0.40083,1.15028,8.32e-05,8.32e-05,8.32e-05
42,1016.54,0.54391,0.32477,0.96731,0.9748,0.96097,0.98919,0.81079,0.7532,0.38722,1.1412,7.528e-05,7.528e-05,7.528e-05
43,1051.15,0.5294,0.31425,0.95826,0.97433,0.96684,0.99051,0.80546,0.73526,0.3714,1.12735,6.736e-05,6.736e-05,6.736e-05
44,1072.15,0.52564,0.31124,0.9495,0.9653,0.96403,0.99022,0.8111,0.73053,0.38014,1.12595,5.944e-05,5.944e-05,5.944e-05
45,1094.44,0.51973,0.30106,0.94038,0.97262,0.95233,0.99086,0.81171,0.73968,0.38808,1.14497,5.152e-05,5.152e-05,5.152e-05
46,1115.14,0.51853,0.3028,0.94948,0.97904,0.96192,0.98923,0.80875,0.72761,0.37748,1.12858,4.36e-05,4.36e-05,4.36e-05
47,1135.66,0.49604,0.29259,0.93281,0.97277,0.9717,0.99012,0.81291,0.72419,0.37298,1.13224,3.568e-05,3.568e-05,3.568e-05
48,1155.97,0.49309,0.29147,0.93552,0.9776,0.96437,0.99121,0.8125,0.72547,0.36746,1.13617,2.776e-05,2.776e-05,2.776e-05
49,1176.18,0.48433,0.28359,0.92481,0.97047,0.96844,0.98984,0.81415,0.72062,0.36699,1.12739,1.984e-05,1.984e-05,1.984e-05
50,1196.58,0.48666,0.28811,0.92973,0.97176,0.96898,0.99023,0.812,0.72643,0.36908,1.12407,1.192e-05,1.192e-05,1.192e-05
